3rd 1
5th 1
a 2333
abdomen 321
abdominal 96
abdomino 1
abdominopelvic 7
abdominus 1
able 1
abnormality 1
about 96
above 57
abscess 4
absent 9
abutting 5
accurately 1
across 1
active 1
activity 2
acute 3
adenoma 1
adenomyosis 1
adenopathy 1
adenxa 3
adequate 1
adequately 1
adherent 5
adjacent 26
adnexa 948
adnexae 17
adnexal 1753
adrenal 4
adult 1
advise 1
age 38
agenesis 3
ahmad 3
ahmed 3
air 2
ajeem 1
al 1
aleem 4
along 51
also 37
amount 100
an 198
analysis 12
and 1392
anechoic 2
angiomyolipoma 1
anitha 3
anomalies 1
anomaly 1
another 21
anterior 67
anteriorly 1
antero 4
anterolateral 1
anterosuperior 2
anteverted 2
antral 9
any 4
aorta 42
aortic 52
ap 13
aperistaltic 7
aponeurosis 1
appear 210
appearance 1
appearing 5
appears 133
appendicitis 120
appendicoliths 1
appendix 66
appendix 1
approx 1
approximate 1
approximately 111
apptroxiomately 1
are 3595
area 163
areas 177
arenormal 1
arises 1
arising 6
arogyadhama 1
around 26
arranged 214
arterial 6
artifact 1
artifacts 1
as 368
ascending 1
ascites 403
aspect 11
asra 1
assessment 1
associated 2
at 323
atrophic 30
atrophy 2
attachment 1
attenuation 1
away 1
ayain 1
ayesha 1
back 4
bafna 1
ball 2
balls 1
bands 2
base 1
be 191
because 1
below 3
benign 1
between 3
beyond 1
bifurcation 1
bilateral 215
bilaterally 2
bile 1
biliary 1
bilobed 5
biochemical 1
biometry 1
bipolar 3
bladder 202
bleeding 7
blind 5
blood 2
body 6
bone 1
border 2
borderline 17
borders 1
both 947
bowel 3979
bowels 1
bpd 1
brains 1
bright 2
broad 5
bulky 57
but 3
by 193
ca 9
caecum 1
caesarian 1
calcific 13
calcification 212
calcifications 33
calcified 2
calculi 118
calculus 47
caliber 2
calibre 13
caliectasis 1
calyceal 4
can 1
canal 1
cannot 121
capacity 5
capsulated 2
capsule 2
carcinoma 3
cardiac 1
care 1
case 5
caudal 1
cause 3
causing 2
cavity 20
cbd 101
cc 65
ceacal 1
central 6
cervical 1
cervix 11
change 10
changes 8
channaraya 1
chest 2
chocolate 1
cholecystectomy 1
cholecystitis 1
cholecystolithiasis 2
cholelithiasis 1
cholesterolosis 1
chronic 2
circumferential 1
